0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~2 | [Filter A] Output Mod.Source                        | 00~34        | Off~Tempo          |11/12| 20|  0| 10|  0|
|  433 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Output Mod.Intensity                     | 9D~63        | -99~+99            |11/12| 20|  0| 11|  0|
|  434 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [Filter A] Resonance Bass                           | 00~01        | Full~Tight         |11/12| 20|  0| 12|  0|
|      | 7~3 | [Filter A] Keyboard Track                           | 9D~63        | -99~+99            |11/12| 20|  0| 13|  0|
|  435 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Filter A] Velocity Intensity                       | 00(fixed)    | 0                  |11/12| 20|  0| 14|  0|
|  436 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 5~3 | [Filter A] EG Select                                | 00~04        | EG1 (Filter)~Amp EG|11/12| 20|  0| 15|  0|
|      | 7~6 | [Filter A] EG Velocity Intensity                    | 9D~63        | -99~+99            |11/12| 20|  0| 16|  0|
|  437 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] EG Intensity                             | 9D~63        | -99~+99            |11/12| 20|  0| 17|  0|
|  438 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] EG Int.Mod.Source                        | 00~34        | Off~Tempo          |11/12| 20|  0| 18|  0|
|  439 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] EG Int.Mod.Intensity                     | 9D~63        | -99~+99            |11/12| 20|  0| 19|  0|
|  440 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] Cutoff Mod.1 Source                      | 00~34        | Off~Tempo          |11/12| 20|  0| 20|  0|
|  441 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] Cutoff Mod.1 Intensity                   | 9D~63        | -99~+99            |11/12| 20|  0| 21|  0|
|  442 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] Cutoff Mod.1 Int.Mod.Source              | 00~34        | Off~Tempo          |11/12| 20|  0| 22|  0|
|  443 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] Cutoff Mod.1 Int.Mod.Intensity           | 9D~63        | -99~+99            |11/12| 20|  0| 23|  0|
|  444 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] Cutoff Mod.2 Source                      | 00~34        | Off~Tempo          |11/12| 20|  0| 24|  0|
|  445 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] Cutoff Mod.2 Intensity                   | 9D~63        | -99~+99            |11/12| 20|  0| 25|  0|
|  446 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [Filter A] LFO Select                               | 00~04        | LFO1~Common LFO    |11/12| 20|  0| 26|  0|
|  447 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [Filter A] LFO Intensity                            | 9D~63        | -99~+99            |11/12| 20|  0| 27|  0|
|  448 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [Filter A] LFO JS(-Y) Intensity                     | 9D~63        | -99~+99            |11/12| 20|  0| 28|  0|
|  449 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [Filter A] LFO Int.Mod.Source                       | 00~34        | Off~Tempo          |11/12| 20|  0| 29|  0|
|  450 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 7~1 | [Filter A] LFO Int.Mod.Intensity                    | 9D~63        | -99~+99            |11/12| 20|  0| 30|  0|
|  451 | 0   |                                                     |              |                    |     |   |   |   |   |
|      | 5~1 | [Filter A] Mode1                                    | 00~15        | Low Pass~Manual    |11/12| 20|  0| 31|  0|
|      | 7~6 | [Filter A] Mode2                                    | 00~15        | Low Pass~Manual    |11/12| 20|  0| 32|  0|
|  452 | 2~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~3 | [Filter A] Mode1 To 2 Crossfade                     | 00~63        | 0~99               |11/12| 20|  0| 33|  0|
|  453 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode Crossfade Mod.Source                | 00~34        | Off~Tempo          |11/12| 20|  0| 34|  0|
|  454 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode Crossfade Mod.Intensity             | 9D~63        | -99~+99            |11/12| 20|  0| 35|  0|
|  455 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode Crossfade Mod.Int.Mod.Source        | 00~34        | Off~Tempo          |11/12| 20|  0| 36|  0|
|  456 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode Crossfade Mod.Int.Mod.Intensity     | 9D~63        | -99~+99            |11/12| 20|  0| 37|  0|
|  457 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode1 Lowpass                            | 9D~63        | -99~+99            |11/12| 20|  0| 38|  0|
|  458 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode1 Highpass                           | 9D~63        | -99~+99            |11/12| 20|  0| 39|  0|
|  459 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode1 Bandpass                           | 9D~63        | -99~+99            |11/12| 20|  0| 40|  0|
|  460 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode1 Dry                                | 9D~63        | -99~+99            |11/12| 20|  0| 41|  0|
|  461 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode2 Lowpass                            | 9D~63        | -99~+99            |11/12| 20|  0| 42|  0|
|  462 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode2 Highpass                           | 9D~63        | -99~+99            |11/12| 20|  0| 43|  0|
|  463 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode2 Bandpass                           | 9D~63        | -99~+99            |11/12| 20|  0| 44|  0|
|  464 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~2 | [Filter A] Mode2 Dry                                | 9D~63        | -99~+99            |11/12| 20|  0| 45|  0|
|  465 | 1~0 |                                                     |              |                    |     |   |   |   |   |
|      | 2   | [Filter B] Bypass                                   | 00~01        | Off~On             |11/12| 20|  0| 46|  0|
|      | 4~3 | [Filter B] Filter Type                              | 00~03        | Low Pass~Band Rejec|11/12| 20|  0| 47|  0|
|      | 7~5 | [Filter B] Trim                                     | 00~63        | 0~99               |11/12| 20|  0| 48|  0|
|  466 | 3~0 |                                                     |              |                    |     |   |   |   |   |
