0:Off


1:HD-1


2:AL-1, Number Of Param. = 609
+======+=====+=====================================================+==============+====================+=====+===+===+===+===+
| OFS  | bit | parameter                                           | data(hex)    | value              | TYP |SOC|SUB|PID|IDX|
|      | 7~4 | [Amplifier EG]                                      | 00(fixed)    | 0                  |11/12| 10|  0|  6|  1|
|   86 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG]                                      | 00(fixed)    | 0                  |11/12| 10|  0|  6|  2|
|   87 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.1 Source                    | 00~34        | Off~Tempo          |11/12| 10|  0|  7|  0|
|   88 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.1 Intensity To Attack Time  | 9D~63        | -99~+99            |11/12| 10|  0|  8|  0|
|   89 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.1 Intensity To Decay Time   | 9D~63        | -99~+99            |11/12| 10|  0|  8|  1|
|   90 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.1 Intensity To Slope Time   | 9D~63        | -99~+99            |11/12| 10|  0|  8|  2|
|   91 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.1 Intensity To Release Time | 9D~63        | -99~+99            |11/12| 10|  0|  8|  3|
|   92 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.2 Source                    | 00~34        | Off~Tempo          |11/12| 10|  0|  9|  0|
|   93 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.2 Intensity To Attack Time  | 9D~63        | -99~+99            |11/12| 10|  0| 10|  0|
|   94 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.2 Intensity To Decay Time   | 9D~63        | -99~+99            |11/12| 10|  0| 10|  1|
|   95 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.2 Intensity To Slope Time   | 9D~63        | -99~+99            |11/12| 10|  0| 10|  2|
|   96 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.2 Intensity To Release Time | 9D~63        | -99~+99            |11/12| 10|  0| 10|  3|
|   97 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.3 Source                    | 00~34        | Off~Tempo          |11/12| 10|  0| 11|  0|
|   98 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.3 Intensity To Attack Time  | 9D~63        | -99~+99            |11/12| 10|  0| 12|  0|
|   99 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.3 Intensity To Decay Time   | 9D~63        | -99~+99            |11/12| 10|  0| 12|  1|
|  100 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.3 Intensity To Slope Time   | 9D~63        | -99~+99            |11/12| 10|  0| 12|  2|
|  101 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Time Mod.3 Intensity To Release Time | 9D~63        | -99~+99            |11/12| 10|  0| 12|  3|
|  102 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Reset Source                         | 00~34        | Off~Tempo          |11/12| 10|  0| 13|  0|
|  103 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~4 | [Amplifier EG] Reset Threshold                      | 9D~63        | -99~+99            |11/12| 10|  0| 14|  0|
|  104 | 3~0 |                                                     |              |                    |     |   |   |   |   |
|  105 |     | [EG1 (Filter)] Start Level                          | 9D~63        | -99~+99            |11/12| 11|  0|  0|  0|
|  106 |     | [EG1 (Filter)] Attack Level                         | 9D~63        | -99~+99            |11/12| 11|  0|  0|  1|
|  107 |     | [EG1 (Filter)] Break Level                          | 9D~63        | -99~+99            |11/12| 11|  0|  0|  2|
|  108 |     | [EG1 (Filter)] Sustain Level                        | 9D~63        | -99~+99            |11/12| 11|  0|  0|  3|
|  109 |     | [EG1 (Filter)] Release Level                        | 9D~63        | -99~+99            |11/12| 11|  0|  0|  4|
|  110 | 6~0 | [EG1 (Filter)] Attack Time                          | 00~63        | 0~99               |11/12| 11|  0|  1|  0|
|      | 7   | [EG1 (Filter)] Decay Time                           | 00~63        | 0~99               |11/12| 11|  0|  1|  1|
|  111 | 5~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~6 | [EG1 (Filter)] Slope Time                           | 00~63        | 0~99               |11/12| 11|  0|  1|  2|
|  112 | 4~0 |                                                     |              |                    |     |   |   |   |   |
|      | 7~5 | [EG1 (Filter)] Release Time                         | 00~63        | 0~99               |11/12| 11|  0|  1|  3|
|  113 | 3~0 |                                                     |              |                    |     |   |   |   |   |
